FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Geitmelk, langtidsholdbar",100,89,286,69,4.5,2.9,0.14,0.38,1.32,0.57,0.1,1.1,0.08,0.96,0.1,0.08,0.02,0,0,0,0,0,0,0,0.02,0.1,13,4,0,4,0,0,3,0,0,18,18,3,0,0.1,0.02,0.2,0.4,0.06,0,0,0,103,0.1,3,165,13,0.3,2,0.13,94,66
"Helmelk, 3,5 % fett, laktosefri",100,90,249,60,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,3,0,3,0,0,4,0.1,0,50,48,21,0,0.1,0.02,0.06,0.1,0.03,5,0.5,0,120,0,30,160,8,0.3,2,0,91,14
"Helmelk, 3,5 % fett, Tine",100,89,264,63,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,4.5,0,4.5,0,0,3.4,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.6,0,130,0,40,171,11,0.4,1,0.02,115,16
"Helmelk, 4 % fett, Q-meieriene",100,88,280,67,3.9,2.6,0.14,0.42,1.16,0.45,0.1,1,0.06,0.84,0.2,0.06,0.02,0,0,0,0,0,0,0,0.02,0.08,10,4.5,0,4.5,0,0,3.5,0.1,0,38,36,25,0,0.1,0.05,0.14,0.1,0.04,11,0.5,0,140,0,40,180,13,0.6,0,0.02,105,16
"Helmelk, 4,1 % fett, økologisk",100,88,279,67,4.1,2.7,0.15,0.47,1.18,0.38,0.1,0.9,0.09,0.71,0.1,0.07,0.02,0,0,0,0,0,0,0,0.02,0.02,11,4.5,0,4.5,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,35,170,0,0,0,0,100,20
"Helmelk, uspesifisert",100,89,267,64,3.6,2.3,0.12,0.36,1.02,0.38,0.1,0.8,0.08,0.74,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.02,9,4.5,0,4.5,0,0,3.4,0.1,0,8,7,5,0,0,0.01,0.15,0,0.01,2,0.6,0,132,0,40,173,11,0.4,1,0.02,113,16
"Kaffemelk, 3,5 % fett",100,89,255,61,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,4.4,0,4.4,0,0,3,0.1,0,42,40,21,0,0.1,0.05,0.15,0.1,0.04,4,0.5,0,115,0,40,150,10,0.4,1,0.01,90,16
"Kakao, med lettmelk, tilberedt",100,82,338,80,1.6,1,0.02,0.07,0.43,0.34,0,0.4,0.01,0.44,0,0.04,0,0,0,0,0,0,0,0,0,0.03,2,11.7,0.4,11.3,7,1,4.2,0.1,0,3,2,3,0.3,0,0.03,0.14,0.1,0.02,4,0.5,0,129,0.4,40,303,27,0.6,1,0.15,132,15
"Lettmelk, 0,5 % fett, vitamin D, laktosefri",100,92,139,33,0.5,0.3,0.02,0.05,0.14,0.05,0,0.1,0.01,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,1,3.1,0,3.1,0,0,4,0.1,0,9,9,3,0.4,0,0.01,0.06,0.1,0.03,5,0.5,0,130,0,30,160,9,0.3,2,0,96,17
"Lettmelk, 0,5 % fett, vitamin D, Q-meieriene",100,91,158,37,0.5,0.3,0.01,0.04,0.12,0.04,0,0.1,0,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0.01,1,4.5,0,4.5,0,0,3.7,0.1,0,7,6,6,0.4,0,0.05,0.14,0.1,0.04,5,0.5,0,140,0,40,180,13,0.4,1,0.01,105,16
"Lettmelk, 0,5 % fett, vitamin D, Tine",100,92,155,37,0.5,0.3,0.02,0.05,0.14,0.05,0,0.1,0.01,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,3.5,0.1,0,0,0,0,0.8,0,0.05,0.15,0.1,0.04,4,0.6,0,130,0,42,171,10,0.4,1,0.01,115,16
"Lettmelk, 0,5 % fett, vitamin D, uspesifisert",100,91,156,37,0.5,0.3,0.02,0.05,0.13,0.05,0,0.1,0.01,0.09,0,0.01,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,3.6,0.1,0,2,2,2,0.7,0,0.05,0.15,0.1,0.04,4,0.6,0,133,0,41,174,11,0.4,1,0.01,112,16
"Lettmelk, 0,7 % fett, økologisk",100,92,157,37,0.7,0.5,0.03,0.08,0.2,0.07,0,0.1,0.02,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.7,0,4.7,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,40,170,0,0,0,0,100,20
"Lettmelk, 1 % fett, uspesifisert",100,91,174,41,1,0.6,0.03,0.1,0.27,0.1,0,0.2,0.02,0.19,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.5,0.1,0,3,3,1,0,0,0.01,0.15,0,0.01,2,0.6,0,132,0,40,173,3,0.1,1,0,113,16
"Lettmelk, 1,0 % fett, laktosefri",100,92,158,37,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,3.1,0,3.1,0,0,4,0.1,0,16,16,6,0,0,0.02,0.06,0.1,0.03,5,0.5,0,120,0,30,150,9,0.3,2,0,92,17
"Lettmelk, 1,0 % fett, laktoseredusert",100,91,182,43,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,4,0.1,0,15,15,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,130,0,40,171,10,0.4,1,0.01,115,16
"Lettmelk, 1,0 % fett, Q-meieriene",100,91,176,42,1,0.7,0.03,0.08,0.23,0.09,0,0.2,0.01,0.17,0,0.01,0,0,0,0,0,0,0,0,0,0.02,3,4.5,0,4.5,0,0,3.7,0.1,0,15,14,7,0,0,0.05,0.14,0.1,0.04,11,0.5,0,140,0,40,180,13,0.6,3,0,105,16
"Lettmelk, 1,0 % fett, Tine",100,91,173,41,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.5,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.6,0,130,0,40,171,0,0,0,0,115,16
"Lettmelk, 1,2 % fett, langtidsholdbar",100,90,189,45,1.2,0.8,0.04,0.12,0.34,0.12,0,0.3,0.03,0.24,0,0.02,0,0,0,0,0,0,0,0,0,0,3,4.5,0,4.5,0,0,4,0.1,0,16,15,7,0,0,0.05,0.15,0.1,0.04,5,0.5,0,130,0,40,171,10,0.4,1,0.01,115,16
"Lettmelk, 1,2 % fett, økologisk",100,91,175,42,1.2,0.8,0.04,0.14,0.35,0.11,0,0.3,0.03,0.21,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.01,3,4.7,0,4.7,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,40,170,0,0,0,0,100,20
"Lettmelk, kakao, vitamin D",100,89,201,48,1.1,0.7,0.03,0.11,0.31,0.11,0,0.3,0.03,0.22,0,0.02,0,0,0,0,0,0,0,0,0,0,3,5.3,0.9,4.4,0,0,4,0.1,0,13,13,5,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,117,0.3,40,193,16,0.5,2,0,116,16
"Lettmelk, uspesifisert",100,91,166,39,0.8,0.5,0.02,0.07,0.21,0.07,0,0.2,0.01,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.6,0.1,0,3,2,2,0.3,0,0.03,0.15,0.1,0.02,3,0.6,0,133,0,41,173,6,0.2,1,0,112,16
"Melk, uspesifisert",100,91,181,43,1.2,0.8,0.04,0.12,0.34,0.12,0,0.3,0.02,0.24,0,0.02,0,0,0,0,0,0,0,0,0,0.01,3,4.5,0,4.5,0,0,3.5,0.1,0,3,3,2,0.2,0,0.03,0.15,0,0.02,3,0.6,0,132,0,40,173,8,0.3,1,0.01,113,16
"Milkshake, sjokoladesmak",100,83,314,74,1.5,1,0.05,0.15,0.42,0.16,0,0.4,0.03,0.31,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.01,4,11.1,0.1,11,4.8,0,4,0.4,0,19,18,9,0,0,0.08,0.19,0.1,0.17,5,0.5,0,134,0.3,170,241,16,0.5,1,0.01,106,17
"Sjokolademelk, av pulver og lettmelk",100,85,268,63,0.9,0.5,0.02,0.07,0.24,0.13,0,0.2,0.01,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0.01,2,10,0.2,9.8,5.6,0,3.6,0.1,0,2,2,2,0.3,0,0.03,0.14,0.1,0.02,3,0.5,0,126,0.5,53,220,15,0.4,1,0.06,118,15
"Sjokolademelk, Litago",100,89,201,48,0.8,0.5,0.02,0.08,0.23,0.08,0,0.2,0.02,0.16,0,0.01,0,0,0,0,0,0,0,0,0,0,2,5.9,0.1,5.8,1.4,0,4,0.1,0,8,7,7,0.4,0,0.05,0.15,0.1,0.04,5,0.6,0,128,0.6,40,213,18,0.5,2,0.01,120,16
"Sjokolademelk, Sjokomelk",100,86,261,62,1.2,0.8,0.04,0.12,0.35,0.13,0,0.3,0.03,0.25,0,0.02,0,0,0,0,0,0,0,0,0,0,3,8.5,0.1,8.4,4.1,0,4,0.1,0,15,14,7,0,0,0.05,0.15,0.1,0.04,5,0.5,0,125,0.4,40,162,16,0.5,2,0.01,115,15
